versiculo,localizacao
"Três vezes roguei ao Senhor que o tirasse de mim. Mas ele me disse: ""Minha graça é suficiente a você, pois o meu poder se aperfeiçoa na fraqueza"". Portanto, eu me gloriarei ainda mais alegremente em minhas fraquezas, para que o poder de Cristo repouse em mim.",2 Coríntios 12:8-9
"Àquele que é capaz de fazer infinitamente mais do que tudo o que pedimos ou pensamos, de acordo com o seu poder que atua em nós,",Efésios 3:20
"Orem no Espírito em todas as ocasiões, com toda oração e súplica; tendo isso em mente, estejam atentos e perseverem na oração por todos os santos.",Efésios 6:18
"O meu Deus suprirá todas as necessidades de vocês, de acordo com as suas gloriosas riquezas em Cristo Jesus.",Filipenses 4:19
"Não andem ansiosos por coisa alguma, mas em tudo, pela oração e súplicas, e com ação de graças, apresentem seus pedidos a Deus.",Filipenses 4:6
Orem continuamente.,1 Tessalonicenses 5:17
"Quero, pois, que os homens orem em todo lugar, levantando mãos santas, sem ira e sem discussões.",1 Timóteo 2:8
"Assim, aproximemo-nos do trono da graça com toda a confiança, a fim de recebermos misericórdia e encontrarmos graça que nos ajude no momento da necessidade.",Hebreus 4:16
"Se algum de vocês tem falta de sabedoria, peça-a a Deus, que a todos dá livremente, de boa vontade; e lhe será concedida. Peça-a, porém, com fé, sem duvidar, pois aquele que duvida é semelhante à onda do mar, levada e agitada pelo vento. Não pense tal pessoa que receberá coisa alguma do Senhor, pois tem mente dividida e é instável em tudo o que faz.",Tiago 1:5-8
"Certamente ele tomou sobre si as nossas enfermidades e sobre si levou as nossas doenças; contudo nós o consideramos castigado por Deus, por Deus atingido e afligido. Mas ele foi traspassado por causa das nossas transgressões, foi esmagado por causa de nossas iniquidades; o castigo que nos trouxe paz estava sobre ele, e pelas suas feridas fomos curados.",Isaías 53:4-5
"Cura-me, Senhor, e serei curado; salva-me, e serei salvo, pois tu és aquele a quem eu louvo.",Jeremias 17:14
"Ele enviou a sua palavra e os curou, e os livrou da morte.",Salmos 107:20
"Curem os enfermos, ressuscitem os mortos, purifiquem os leprosos, expulsem os demônios. Vocês receberam de graça; deem também de graça.",Mateus 10:8
"Ele mesmo levou em seu corpo os nossos pecados sobre o madeiro, a fim de que morrêssemos para os pecados e vivêssemos para a justiça; por suas feridas vocês foram curados.",1 Pedro 2:24
"dizendo-lhes: ""Se vocês derem atenção ao Senhor, o seu Deus, e fizerem o que ele aprova, se derem ouvidos aos seus mandamentos e obedecerem a todos os seus decretos, não trarei sobre vocês nenhuma das doenças que eu trouxe sobre os egípcios, pois eu sou o Senhor que os cura"".",Êxodo 15:26
"Senhor meu Deus, a ti clamei por socorro, e tu me curaste.",Salmos 30:2
"Todavia, trarei restauração e cura para ela; curarei o meu povo e lhe darei muita prosperidade e segurança.",Jeremias 33:6
"Entre vocês há alguém que está doente? Que ele mande chamar os presbíteros da igreja, para que estes orem sobre ele e o unjam com óleo, em nome do Senhor. A oração feita com fé curará o doente; o Senhor o levantará. E, se houver cometido pecados, ele será perdoado.",Tiago 5:14-15
Só ele cura os de coração quebrantado e cuida das suas feridas.,Salmos 147:3
"É ele que perdoa todos os seus pecados e cura todas as suas doenças,",Salmos 103:3
"Jesus ia passando por todas as cidades e povoados, ensinando nas sinagogas, pregando as boas-novas do Reino e curando todas as enfermidades e doenças.",Mateus 9:35
"Jesus foi por toda a Galileia, ensinando nas sinagogas deles, pregando as boas-novas do Reino e curando todas as enfermidades e doenças entre o povo.",Mateus 4:23
"Prestem culto ao Senhor, o Deus de vocês, e ele os abençoará, dando a vocês alimento e água. Tirarei a doença do meio de vocês.",Êxodo 23:25
"Então ele lhe disse: ""Filha, a sua fé a curou! Vá em paz e fique livre do seu sofrimento"".",Marcos 5:34
"O Senhor o susterá em seu leito de enfermidade, e da doença o restaurará.",Salmos 41:3
"Toda a Escritura é inspirada por Deus e útil para o ensino, para a repreensão, para a correção e para a instrução na justiça, para que o homem de Deus seja apto e plenamente preparado para toda boa obra.",2 Timóteo 3:16-17
A tua palavra é lâmpada que ilumina os meus passos e luz que clareia o meu caminho.,Salmos 119:105
"Pois a palavra de Deus é viva e eficaz, e mais afiada que qualquer espada de dois gumes; ela penetra até o ponto de dividir alma e espírito, juntas e medulas, e julga os pensamentos e as intenções do coração.",Hebreus 4:12
"Jesus respondeu: ""Está escrito: 'Nem só de pão viverá o homem, mas de toda palavra que procede da boca de Deus'"".",Mateus 4:4
Guardei no coração a tua palavra para não pecar contra ti.,Salmos 119:11
Santifica-os na verdade; a tua palavra é a verdade.,João 17:17
"A tua palavra, Senhor, para sempre está firmada nos céus.",Salmos 119:89
Cada palavra de Deus é comprovadamente pura; ele é um escudo para quem nele se refugia.,Provérbios 30:5
"Jesus respondeu: ""Está escrito: 'Nem só de pão viverá o homem'"".",Lucas 4:4
"""Não é a minha palavra como o fogo"", pergunta o Senhor, ""e como um martelo que despedaça a rocha?",Jeremias 23:29
Santifica-os na verdade; a tua palavra é a verdade.,João 17:17
"Toda a Escritura é inspirada por Deus e útil para o ensino, para a repreensão, para a correção e para a instrução na justiça,",2 Timóteo 3:16
"Sejam praticantes da palavra, e não apenas ouvintes, enganando vocês mesmos.",Tiago 1:22
"Não deixe de falar as palavras deste Livro da Lei e de meditar nelas de dia e de noite, para que você cumpra fielmente tudo o que nele está escrito. Só então os seus caminhos prosperarão e você será bem-sucedido.",Josué 1:8
Pois a palavra do Senhor é verdadeira; ele é fiel em tudo o que faz.,Salmos 33:4
"Quando as tuas palavras foram encontradas, eu as comi; elas são a minha alegria e o meu júbilo, pois pertenço a ti, Senhor Deus dos Exércitos.",Jeremias 15:16
"Usem o capacete da salvação e a espada do Espírito, que é a palavra de Deus.",Efésios 6:17
Uma esposa exemplar; feliz quem a encontrar! É muito mais valiosa que os rubis. Seu marido tem plena confiança nela e nunca lhe falta coisa alguma.,Provérbios 31:10-11
"Agora, minha filha, não tenha medo; farei por você tudo o que me pedir. Todos os meus concidadãos sabem que você é mulher virtuosa.",Rute 3:11
"A beleza é enganosa, e a formosura é passageira; mas a mulher que teme o Senhor será elogiada.",Provérbios 31:30
"A mulher sábia edifica a sua casa, mas com as próprias mãos a insensata derruba a sua.",Provérbios 14:1
"A mulher exemplar é a coroa do seu marido, mas a de comportamento vergonhoso é como câncer em seus ossos.",Provérbios 12:4
"Casas e riquezas herdam-se dos pais, mas a esposa prudente vem do Senhor.",Provérbios 19:14
"Da mesma forma, quero que as mulheres se vistam modestamente, com decência e discrição, não se adornando com tranças e com ouro, nem com pérolas ou com roupas caras, mas com boas obras, como convém a mulheres que declaram adorar a Deus.",1 Timóteo 2:9-10
"Semelhantemente, ensine as mulheres mais velhas a serem reverentes na sua maneira de viver, a não serem caluniadoras nem escravizadas a muito vinho, mas a serem capazes de ensinar o que é bom. Assim, poderão orientar as mulheres mais jovens a amarem seus maridos e seus filhos,",Tito 2:3-4
Entrem por suas portas com ações de graças e em seus átrios com louvor; deem-lhe graças e bendigam o seu nome.,Salmos 100:4
"Deem ao Senhor a glória devida ao seu nome e entrem nos seus átrios trazendo ofertas. Adorem o Senhor no esplendor da sua santidade; tremam diante dele todos os habitantes da terra. Digam entre as nações: ""O Senhor reina!"" Por isso firme está o mundo e não se abalará, e ele julgará os povos com justiça.",Salmos 96:8-10
"mas aqueles que esperam no Senhor renovam as suas forças. Voam alto como águias; correm e não ficam exaustos, andam e não se cansam.",Isaías 40:31
"Por meio de Jesus, portanto, ofereçamos continuamente a Deus um sacrifício de louvor, que é fruto de lábios que confessam o seu nome.",Hebreus 13:15
"No entanto, está chegando a hora, e de fato já chegou, em que os verdadeiros adoradores adorarão o Pai em espírito e em verdade. São estes os adoradores que o Pai procura. Deus é espírito, e é necessário que os seus adoradores o adorem em espírito e em verdade"".",João 4:23-24
"Aleluia! Louvem a Deus no seu santuário, louvem-no em seu magnífico firmamento. Louvem-no pelos seus feitos poderosos, louvem-no segundo a imensidão de sua grandeza! Tudo o que tem vida louve o Senhor! Aleluia!","Salmos 150:1-2, 6"
"""Venham a mim, todos os que estão cansados e sobrecarregados, e eu darei descanso a vocês. Tomem sobre vocês o meu jugo e aprendam de mim, pois sou manso e humilde de coração, e vocês encontrarão descanso para as suas almas. Pois o meu jugo é suave e o meu fardo é leve"".",Mateus 11:28-30
Venham! Cantemos ao Senhor com alegria! Aclamemos a Rocha da nossa salvação. Vamos à presença dele com ações de graças; vamos aclamá-lo com cânticos de louvor.,Salmos 95:1-2
"Aleluia! Louvem o nome do Senhor; louvem-no, servos do Senhor, vocês, que servem na casa do Senhor, nos pátios da casa de nosso Deus. Louvem o Senhor, pois o Senhor é bom; cantem louvores ao seu nome, pois é nome amável.",Salmos 135:1-3
"Venham! Adoremos prostrados e ajoelhemos diante do Senhor, o nosso Criador; pois ele é o nosso Deus, e nós somos o povo do seu pastoreio, o rebanho que ele conduz. Hoje, se vocês ouvirem a sua voz,",Salmos 95:6-7
"Não deixemos de reunir-nos como igreja, segundo o costume de alguns, mas procuremos encorajar-nos uns aos outros, ainda mais quando vocês veem que se aproxima o Dia.",Hebreus 10:25
"Todos os dias, continuavam a reunir-se no pátio do templo. Partiam o pão em casa e juntos participavam das refeições, com alegria e sinceridade de coração, louvando a Deus e tendo a simpatia de todo o povo. E o Senhor lhes acrescentava diariamente os que iam sendo salvos.",Atos dos Apóstolos 2:46-47
"""Venham, todos vocês que estão com sede, venham às águas; e vocês que não possuem dinheiro algum, venham, comprem e comam! Venham, comprem vinho e leite sem dinheiro e sem custo.",Isaías 55:1
"Aleluia! Cantem ao Senhor uma nova canção, louvem-no na assembleia dos fiéis.",Salmos 149:1
"Uma coisa pedi ao Senhor e a procuro: que eu possa viver na casa do Senhor todos os dias da minha vida, para contemplar a bondade do Senhor e buscar sua orientação no seu templo.",Salmos 27:4
"Como são felizes aqueles que escolhes e trazes a ti para que vivam nos teus átrios! Transbordamos de bênçãos da tua casa, do teu santo templo!",Salmos 65:4
As tuas mãos me fizeram e me formaram; dá-me entendimento para aprender os teus mandamentos.,Salmos 119:73
Melhor é um dia nos teus átrios do que mil noutro lugar; prefiro ficar à porta da casa do meu Deus a habitar nas tendas dos ímpios.,Salmos 84:10
A tua palavra é lâmpada que ilumina os meus passos e luz que clareia o meu caminho.,Salmos 119:105
"Toda a Escritura é inspirada por Deus e útil para o ensino, para a repreensão, para a correção e para a instrução na justiça, para que o homem de Deus seja apto e plenamente preparado para toda boa obra.",2 Timóteo 3:16-17
"Porque sou eu que conheço os planos que tenho para vocês', diz o Senhor, 'planos de fazê-los prosperar e não de causar dano, planos de dar a vocês esperança e um futuro.",Jeremias 29:11
"Por que você está assim tão triste, ó minha alma? Por que está assim tão perturbada dentro de mim?Ponha a sua esperança em Deus!  Pois ainda o louvarei; ele é o meu Salvador e o meu Deus.",Salmos 42:11
"Como é feliz aquele cujo auxílio é o Deus de Jacó, cuja esperança está no Senhor, no seu Deus,",Salmos 146:5
"Que o Deus da esperança os encha de toda alegria e paz, por sua confiança nele, para que vocês transbordem de esperança, pelo poder do Espírito Santo.",Romanos 15:13
"Oro também para que os olhos do coração de vocês sejam iluminados, a fim de que vocês conheçam a esperança para a qual ele os chamou, as riquezas da gloriosa herança dele nos santos",Efésios 1:18
"Tendo sido, pois, justificados pela fé, temos paz com Deus, por nosso Senhor Jesus Cristo, por meio de quem obtivemos acesso pela fé a esta graça na qual agora estamos firmes; e nos gloriamos na esperança da glória de Deus.",Romanos 5:1-2
"Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo! Conforme a sua grande misericórdia, ele nos regenerou para uma esperança viva, por meio da ressurreição de Jesus Cristo dentre os mortos,",1 Pedro 1:3
"Ele o fez a fim de que, justificados por sua graça, nos tornemos seus herdeiros, tendo a esperança da vida eterna.",Tito 3:7
"Irmãos, não queremos que vocês sejam ignorantes quanto aos que dormem, para que não se entristeçam como os outros que não têm esperança. Se cremos que Jesus morreu e ressurgiu, cremos também que Deus trará, mediante Jesus e com ele, aqueles que nele dormiram.",1 Tessalonicenses 4:13-14
"Pois nessa esperança fomos salvos. Mas esperança que se vê não é esperança. Quem espera por aquilo que está vendo? Mas, se esperamos o que ainda não vemos, aguardamo-lo pacientemente.",Romanos 8:24-25
"Alegrem-se na esperança, sejam pacientes na tribulação, perseverem na oração.",Romanos 12:12
"E a esperança não nos decepciona, porque Deus derramou seu amor em nossos corações, por meio do Espírito Santo que ele nos concedeu.",Romanos 5:5
"Ora, a fé é a certeza daquilo que esperamos e a prova das coisas que não vemos.",Hebreus 11:1
"pois temos ouvido falar da fé que vocês têm em Cristo Jesus e do amor que têm por todos os santos, por causa da esperança que está reservada a vocês nos céus, a respeito da qual ouviram por meio da palavra da verdade, o evangelho",Colossenses 1:4-5
"Portanto, visto que temos tal esperança, mostramos muita confiança.",2 Coríntios 3:12
"De manhã ouves, Senhor, o meu clamor; de manhã te apresento a minha oração e aguardo com esperança.",Salmos 5:3
"Mas os pobres nunca serão esquecidos, nem se frustrará a esperança dos necessitados.",Salmos 9:18
"O cavalo é vã esperança de vitória; apesar da sua grande força, é incapaz de salvar. Mas o Senhor protege aqueles que o temem, aqueles que firmam a esperança no seu amor, para livrá-los da morte e garantir-lhes vida, mesmo em tempos de fome.",Salmos 33:17-19
"Mas agora, Senhor, que hei de esperar? Minha esperança está em ti.",Salmos 39:7
"Estou quase desfalecido, aguardando a tua salvação, mas na tua palavra depositei a minha esperança.",Salmos 119:81
"A esperança que se retarda deixa o coração doente, mas o anseio satisfeito é árvore de vida.",Provérbios 13:12
"Se trabalhamos e lutamos é porque temos depositado a nossa esperança no Deus vivo, o Salvador de todos os homens, especialmente dos que creem.",1 Timóteo 4:10
"Ordene aos que são ricos no presente mundo que não sejam arrogantes, nem ponham sua esperança na incerteza da riqueza, mas em Deus, que de tudo nos provê ricamente, para a nossa satisfação.",1 Timóteo 6:17
"Apeguemo-nos com firmeza à esperança que professamos, pois aquele que prometeu é fiel.",Hebreus 10:23
"Antes, santifiquem Cristo como Senhor em seu coração. Estejam sempre preparados para responder a qualquer pessoa que pedir a razão da esperança que há em vocês.",1 Pedro 3:15
"Cada um dê conforme determinou em seu coração, não com pesar ou por obrigação, pois Deus ama quem dá com alegria.",2 Coríntios 9:7
"Honre o Senhor com todos os seus recursos e com os primeiros frutos de todas as suas plantações; os seus celeiros ficarão plenamente cheios, e os seus barris transbordarão de vinho.",Provérbios 3:9-10
"Por meio de Jesus, portanto, ofereçamos continuamente a Deus um sacrifício de louvor, que é fruto de lábios que confessam o seu nome.",Hebreus 13:15
"Portanto, irmãos, rogo pelas misericórdias de Deus que se ofereçam em sacrifício vivo, santo e agradável a Deus; este é o culto racional de vocês.",Romanos 12:1
"Jesus olhou e viu os ricos colocando suas contribuições nas caixas de ofertas. Viu também uma viúva pobre colocar duas pequeninas moedas de cobre. E disse: ""Afirmo que esta viúva pobre colocou mais do que todos os outros. Todos esses deram do que lhes sobrava; mas ela, da sua pobreza, deu tudo o que possuía para viver"".",Lucas 21:1-4
"Em tudo o que fiz, mostrei a vocês que mediante trabalho árduo devemos ajudar os fracos, lembrando as palavras do próprio Senhor Jesus, que disse: 'Há maior felicidade em dar do que em receber' "".",Atos dos Apóstolos 20:35
"Ao entrarem na casa, viram o menino com Maria, sua mãe, e, prostrando-se, o adoraram. Então abriram os seus tesouros e lhe deram presentes: ouro, incenso e mirra.",Mateus 2:11
"""Diga aos israelitas que me tragam uma oferta. Receba-a de todo aquele cujo coração o compelir a dar.",Êxodo 25:2
"Aceita, Senhor, a oferta de louvor dos meus lábios, e ensina-me as tuas ordenanças.",Salmos 119:108
"Há quem dê generosamente, e vê aumentar suas riquezas; outros retêm o que deveriam dar, e caem na pobreza.",Provérbios 11:24
"Recebi tudo, e o que tenho é mais que suficiente. Estou amplamente suprido, agora que recebi de Epafrodito os donativos que vocês enviaram. São uma oferta de aroma suave, um sacrifício aceitável e agradável a Deus.",Filipenses 4:18
"Os discípulos, cada um segundo as suas possibilidades, decidiram providenciar ajuda para os irmãos que viviam na Judeia. E o fizeram, enviando suas ofertas aos presbíteros pelas mãos de Barnabé e Saulo.",Atos dos Apóstolos 11:29-30
"Da multidão dos que creram, uma era a mente e um o coração. Ninguém considerava unicamente sua coisa alguma que possuísse, mas compartilhavam tudo o que tinham. Com grande poder os apóstolos continuavam a testemunhar da ressurreição do Senhor Jesus, e grandiosa graça estava sobre todos eles.",Atos dos Apóstolos 4:32-33
"Outro anjo, que trazia um incensário de ouro, aproximou-se e ficou em pé junto ao altar. A ele foi dado muito incenso para oferecer com as orações de todos os santos sobre o altar de ouro diante do trono. E da mão do anjo subiu diante de Deus a fumaça do incenso com as orações dos santos.",Apocalipse 8:3-4
"E bendito seja o Deus Altíssimo, que entregou seus inimigos em suas mãos"". E Abrão lhe deu o dízimo de tudo.",Gênesis 14:20
"""Todos os dízimos da terra - seja dos cereais, seja das frutas - pertencem ao Senhor; são consagrados ao Senhor. Se um homem desejar resgatar parte do seu dízimo, terá que acrescentar um quinto ao seu valor. O dízimo dos seus rebanhos, um de cada dez animais que passem debaixo da vara do pastor, será consagrado ao Senhor.",Levítico 27:30-32
"""Dou aos levitas todos os dízimos em Israel como retribuição pelo trabalho que fazem ao servirem na Tenda do Encontro.",Números 18:21
"""Separem o dízimo de tudo o que a terra produzir anualmente.",Deuteronômio 14:22
"Deem e será dado a vocês: uma boa medida, calcada, sacudida e transbordante será dada a vocês. Pois a medida que usarem também será usada para medir vocês"".",Lucas 6:38
"Cada um dê conforme determinou em seu coração, não com pesar ou por obrigação, pois Deus ama quem dá com alegria.c",2 Coríntios 9:7
"Vocês não sabem que aqueles que trabalham no templo alimentam-se das coisas do templo, e que os que servem diante do altar participam do que é oferecido no altar? Da mesma forma, o Senhor ordenou àqueles que pregam o evangelho que vivam do evangelho.",1 Coríntios 9:13-14
"Tragam o dízimo todo ao depósito do templo, para que haja alimento em minha casa. Ponham-me à prova"", diz o Senhor dos Exércitos, ""e vejam se não vou abrir as comportas dos céus e derramar sobre vocês tantas bênçãos que nem terão onde guardá-las.",Malaquias 3:10
"""Pode um homem roubar de Deus? Contudo vocês estão me roubando. E ainda perguntam: 'Como é que te roubamos?' Nos dízimos e nas ofertas.",Malaquias 3:8
"""Ai de vocês, mestres da lei e fariseus, hipócritas! Vocês dão o dízimo da hortelã, do endro e do cominho, mas têm negligenciado os preceitos mais importantes da lei: a justiça, a misericórdia e a fidelidade. Vocês devem praticar estas coisas, sem omitir aquelas.",Mateus 23:23
Honre o Senhor com todos os seus recursos e com os primeiros frutos de todas as suas plantações;,Provérbios 3:9
"Do Senhor é a terra e tudo o que nela existe, o mundo e os que nele vivem;",Salmos 24:1
Deem ao Senhor a glória devida ao seu nome e entrem nos seus átrios trazendo ofertas.,Salmos 96:8
Tudo posso naquele que me fortalece.,Filipenses 4:13
O Senhor é a minha luz e a minha salvação; de quem terei temor? O Senhor é o meu forte refúgio; de quem terei medo?,Salmos 27:1
"Estejam vigilantes, mantenham-se firmes na fé, sejam homens de coragem, sejam fortes.",1 Coríntios 16:13
"Sejam fortes e corajosos. Não tenham medo nem fiquem apavorados por causa delas, pois o Senhor, o seu Deus, vai com vocês; nunca os deixará, nunca os abandonará"".",Deuteronômio 31:6
"pois o Senhor, o seu Deus, os acompanhará e lutará por vocês contra os seus inimigos, para dar a vitória a vocês'.",Deuteronômio 20:4
"Por isso não tema, pois estou com você; não tenha medo, pois sou o seu Deus. Eu o fortalecerei e o ajudarei; eu o segurarei com a minha mão direita vitoriosa.",Isaías 41:10
"""Venham a mim, todos os que estão cansados e sobrecarregados, e eu darei descanso a vocês.",Mateus 11:28
"Mas ele me disse: ""Minha graça é suficiente a você, pois o meu poder se aperfeiçoa na fraqueza"". Portanto, eu me gloriarei ainda mais alegremente em minhas fraquezas, para que o poder de Cristo repouse em mim. Por isso, por amor de Cristo, regozijo-me nas fraquezas, nos insultos, nas necessidades, nas perseguições, nas angústias. Pois, quando sou fraco, é que sou forte.",2 Coríntios 12:9-10
"mas aqueles que esperam no Senhor renovam as suas forças. Voam alto como águias; correm e não ficam exaustos, andam e não se cansam.",Isaías 40:31
"Sejam fortes e corajosos, todos vocês que esperam no Senhor!",Salmos 31:24
"Não fui eu que ordenei a você? Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar"".",Josué 1:9c
"Mas, sejam fortes e não desanimem, pois o trabalho de vocês será recompensado"".",2 Crônicas 15:7
"Davi ficou profundamente angustiado, pois os homens falavam em apedrejá-lo; todos estavam amargurados por causa de seus filhos e de suas filhas. Davi, porém, fortaleceu-se no Senhor, o seu Deus.",1 Samuel 30:6
Espere no Senhor. Seja forte! Coragem! Espere no Senhor.,Salmos 27:14
"O Senhor é a minha força e o meu escudo; nele o meu coração confia, e dele recebo ajuda. Meu coração exulta de alegria, e com o meu cântico lhe darei graças.",Salmos 28:7
"O meu corpo e o meu coração poderão fraquejar, mas Deus é a força do meu coração e a minha herança para sempre.",Salmos 73:26
"Ó minha força, canto louvores a ti; tu és, ó Deus, o meu alto refúgio, o Deus que me ama.",Salmos 59:17
"Finalmente, fortaleçam-se no Senhor e no seu forte poder.",Efésios 6:10
Ele fortalece o cansado e dá grande vigor ao que está sem forças.,Isaías 40:29
"Vocês, orem assim:""Pai nosso, que estás nos céus! Santificado seja o teu nome. Venha o teu Reino; seja feita a tua vontade, assim na terra como no céu.",Mateus 6:9-10
"Ele lhes disse: ""Quando vocês orarem, digam: ""Pai! Santificado seja o teu nome. Venha o teu Reino. Dá-nos cada dia o nosso pão cotidiano. Perdoa-nos os nossos pecados, pois também perdoamos a todos os que nos devem. E não nos deixes cair em tentação"".",Lucas 11:2-4
"Como podemos ser suficientemente gratos a Deus por vocês, por toda a alegria que temos diante dele por causa de vocês?",1 Tessalonicenses 3:9
"Deem ao Senhor, ó famílias das nações, deem ao Senhor glória e força!",1 Crônicas 16:28
"Todos recebemos da sua plenitude, graça sobre graça.",João 1:16
"Os filhos são herança do Senhor, uma recompensa que ele dá. Como flechas nas mãos do guerreiro são os filhos nascidos na juventude. Como é feliz o homem que tem a sua aljava cheia deles! Não será humilhado quando enfrentar seus inimigos no tribunal.",Salmos 127:3-5
"Era este menino que eu pedia, e o Senhor concedeu-me o pedido.",1 Samuel 1:27
"As mulheres disseram a Noemi: ""Louvado seja o Senhor, que hoje não a deixou sem resgatador! Que o seu nome seja celebrado em Israel! O menino dará a você nova vida e a sustentará na velhice, pois é filho da sua nora, que a ama e que é melhor do que sete filhos para você!""",Rute 4:14-15
"Toda boa dádiva e todo dom perfeito vêm do alto, descendo do Pai das luzes, que não muda como sombras inconstantes.",Tiago 1:17
Agradeço a meu Deus toda vez que me lembro de vocês.,Filipenses 1:3
Bendiga o Senhor a minha alma! Bendiga o Senhor todo o meu ser! Bendiga o Senhor a minha alma! Não esqueça nenhuma de suas bênçãos!,Salmos 103:1-2
"Os filhos dos filhos são uma coroa para os idosos, e os pais são o orgulho dos seus filhos.",Provérbios 17:6
"Os vivos, somente os vivos, te louvam, como hoje estou fazendo; os pais contam a tua fidelidade a seus filhos.",Isaías 38:19
"Não os esconderemos dos nossos filhos; contaremos à próxima geração os louváveis feitos do Senhor, o seu poder e as maravilhas que fez.",Salmos 78:4
"Agora, nosso Deus, damos-te graças, e louvamos o teu glorioso nome.",1 Crônicas 29:13
"O Senhor é a minha força e o meu escudo; nele o meu coração confia, e dele recebo ajuda. Meu coração exulta de alegria, e com o meu cântico lhe darei graças.",Salmos 28:7
Vamos à presença dele com ações de graças; vamos aclamá-lo com cânticos de louvor.,Salmos 95:2
Louvarei o nome de Deus com cânticos e proclamarei sua grandeza com ações de graças;,Salmos 69:30
Entrem por suas portas com ações de graças e em seus átrios com louvor; deem-lhe graças e bendigam o seu nome.,Salmos 100:4
Aleluia! Deem graças ao Senhor porque ele é bom; o seu amor dura para sempre.,Salmos 106:1
"Tu és o meu Deus; graças te darei! Ó meu Deus, eu te exaltarei!",Salmos 118:28
Cantem ao Senhor com ações de graças; ao som da harpa façam música para o nosso Deus.,Salmos 147:7
"Tomando os cinco pães e os dois peixes e, olhando para o céu, deu graças e partiu os pães. Em seguida, entregou-os aos seus discípulos para que os servissem ao povo. E também dividiu os dois peixes entre todos eles. Todos comeram e ficaram satisfeitos, e os discípulos recolheram doze cestos cheios de pedaços de pão e de peixe.",Marcos 6:41-43
"Sempre dou graças a meu Deus por vocês, por causa da graça que dele receberam em Cristo Jesus.",1 Coríntios 1:4
"Mas graças a Deus, que nos dá a vitória por meio de nosso Senhor Jesus Cristo.",1 Coríntios 15:57
"Mas graças a Deus, que sempre nos conduz vitoriosamente em Cristo e por nosso intermédio exala em todo lugar a fragrância do seu conhecimento;",2 Coríntios 2:14
"Aquele que supre a semente ao que semeia e o pão ao que come também lhes suprirá e multiplicará a semente e fará crescer os frutos da sua justiça. Vocês serão enriquecidos de todas as formas, para que possam ser generosos em qualquer ocasião e, por nosso intermédio, a sua generosidade resulte em ação de graças a Deus.",2 Coríntios 9:10-11
"falando entre vocês com salmos, hinos e cânticos espirituais, cantando e louvando de coração ao Senhor, dando graças constantemente a Deus Pai por todas as coisas, em nome de nosso Senhor Jesus Cristo. Sujeitem-se uns aos outros, por temor a Cristo.",Efésios 5:19-21
Agradeço a meu Deus toda vez que me lembro de vocês.,Filipenses 1:3
"Não andem ansiosos por coisa alguma, mas em tudo, pela oração e súplicas, e com ação de graças, apresentem seus pedidos a Deus.",Filipenses 4:6
"Tudo o que fizerem, seja em palavra seja em ação, façam-no em nome do Senhor Jesus, dando por meio dele graças a Deus Pai.",Colossenses 3:17
"Sempre damos graças a Deus por todos vocês, mencionando-os em nossas orações. Lembramos continuamente, diante de nosso Deus e Pai, o que vocês têm demonstrado: o trabalho que resulta da fé, o esforço motivado pelo amor e a perseverança proveniente da esperança em nosso Senhor Jesus Cristo.",1 Tessalonicenses 1:2-3
"Filhinhos, eu escrevi a vocês porque conhecem o Pai. Pais, eu escrevi a vocês porque conhecem aquele que é desde o princípio. Jovens, eu escrevi a vocês, porque são fortes, e em vocês a Palavra de Deus permanece, e vocês venceram o Maligno.",1 João 2:14
Como pode o jovem manter pura a sua conduta? Vivendo de acordo com a tua palavra.,Salmos 119:9
"moços e moças, velhos e crianças. Louvem todos o nome do Senhor, pois somente o seu nome é exaltado; a sua majestade está acima da terra e dos céus.",Salmos 148:12-13
É bom que o homem suporte o jugo enquanto é jovem.,Lamentações 3:27
Guardei no coração a tua palavra para não pecar contra ti.,Salmos 119:11
"Alegre-se, jovem, na sua mocidade! Seja feliz o seu coração nos dias da sua juventude! Siga por onde seu coração mandar, até onde a sua vista alcançar; mas saiba que por todas essas coisas Deus o trará a julgamento.",Eclesiastes 11:9
"Da mesma forma, jovens, sujeitem-se aos mais velhos. Sejam todos humildes uns para com os outros, porque ""Deus se opõe aos orgulhosos, mas concede graça aos humildes"". Portanto, humilhem-se debaixo da poderosa mão de Deus, para que ele os exalte no tempo devido.",1 Pedro 5:5-6
"Filhos, obedeçam a seus pais no Senhor, pois isso é justo. ""Honra teu pai e tua mãe"" - este é o primeiro mandamento com promessa -",Efésios 6:1-2
"Porque sou eu que conheço os planos que tenho para vocês', diz o Senhor, 'planos de fazê-los prosperar e não de causar dano, planos de dar a vocês esperança e um futuro. Então vocês clamarão a mim, virão orar a mim, e eu os ouvirei. Vocês me procurarão e me acharão quando me procurarem de todo o coração. Eu me deixarei ser encontrado por vocês', declara o Senhor, 'e os trarei de volta do cativeiro. Eu os reunirei de todas as nações e de todos os lugares para onde eu os dispersei e os trarei de volta para o lugar de onde os deportei', diz o Senhor.",Jeremias 29:11-14
Até a criança mostra o que é por suas ações; o seu procedimento revelará se ela é pura e justa.,Provérbios 20:11
